timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1694874687673,107,TestStep18:Get Matrix Position For InventorChild Engineering instance,404,,GetSetPosition EngInstance Scenario 1-1,text,false,Modify Position of Eng Instance Failure with position mask!!!,900,749,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC3B00173211/dseng:EngInstance/instID3_KO?tenant=R1132100512396&$mask=dsmveng:EngInstanceMask.Position,106,0,0
1694874687807,143,TestStep19:Modify Matrix Position For 3DPartChild Engineering instance,404,,GetSetPosition EngInstance Scenario 1-1,text,false,Modify Position of Eng Instance Failure with position mask!!!,900,1113,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC3B00173211/dseng:EngInstance/instID4_KO?$mask=dsmveng:EngInstanceMask.Position&tenant=R1132100512396,143,0,0
1694874687979,106,TestStep20:Get Matrix Position For 3DPartChild Engineering instance,404,,GetSetPosition EngInstance Scenario 1-1,text,false,Modify Position of Eng Instance Failure with position mask!!!,900,749,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC3B00173211/dseng:EngInstance/instID4_KO?tenant=R1132100512396&$mask=dsmveng:EngInstanceMask.Position,106,0,0
1694874688114,885,Create Eng Item with Default mask,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,1265,952,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem?$mask=dskern:Mask.Default&tenant=R1132100512396,885,0,0
1694874689025,608,Create Eng Instance with Default mask ,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,1128,1215,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC410019D0AF/dseng:EngInstance?$mask=dskern:Mask.Default&tenant=R1132100512396,608,0,0
1694874689657,505,Change Maturity of parent to relleased,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,1016,775,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dslc/maturity/changeState,505,0,0
1694874690180,260,Get Engineering instance,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,1312,771,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC410019D0AF/dseng:EngInstance/8E4FBA104E3700006505BC42001B51DB?tenant=R1132100512396&$mask=dsmveng:EngInstanceMask.Position,260,0,0
1694874688114,2258,pre-req for Case5,200,"Number of samples in transaction : 4, number of failing samples : 0",GetSetPosition EngInstance Scenario 1-1,,true,,4721,3713,1,1,null,2258,71,0
1694874690445,406,TestStep21:Negative Case-Modify Position of Engineering instance error for released maturity,400,,GetSetPosition EngInstance Scenario 1-1,text,true,,955,1162,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC410019D0AF/dseng:EngInstance/8E4FBA104E3700006505BC42001B51DB?$mask=dsmveng:EngInstanceMask.Position&tenant=R1132100512396,406,0,0
1694874690870,845,Create Eng Item with Default mask,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,1255,952,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem?$mask=dskern:Mask.Default&tenant=R1132100512396,844,0,0
